organization,program,suggested_primary_category,urgency,services,audiences,languages,phone,website,source_pages,verification_status,verification_lead_source_url,verification_notes
California Institute of Career Development,,jobs-training,want-to-connect,Career training,,,669-285-7916,https://www.ci-cd.org,42,needs_review,https://www.ci-cd.org,
California's Low Cost Auto Insurance Program (CLCA),,community-support,want-to-connect,Low-cost auto insurance,,,866-602-8861,https://www.mylowcostauto.com,42,needs_review,https://www.mylowcostauto.com,
CalWORKs,,housing-rent,i-need-help,Time-limited cash assistance; Childcare; Health care coverage; Job search and retention support; Education support,families,,408-758-3800,https://socialservices.sccgov.org/financial-assistance/calworks,30,needs_review,https://socialservices.sccgov.org/financial-assistance/calworks,
CalWORKs Child Care Services,,babies-kids-parents,want-to-connect,Childcare referrals,,,669-212-5437,https://www.childcarescc.org/child-care-application,31,needs_review,https://www.childcarescc.org/child-care-application,
CalWORKs Employment Connection,,jobs-training,want-to-connect,Resume and interview preparation; Job placement; Career counseling,,,,https://www.ecstaffing.com,32,needs_review,https://www.ecstaffing.com,
CalWORKs Expungement Program,,jobs-training,want-to-connect,Record-clearing assistance to improve employment opportunity,,,408-299-7038,https://www.sccgov.org/sites/pdo,32,needs_review,https://www.sccgov.org/sites/pdo,
"CalWORKs Family Stabilization, Homeless Assistance, Housing Support Program",,housing-rent,i-need-help,Homeless prevention services for Welfare-To-Work families,,,408-758-3500,,32,needs_review,,
CalWORKs Health Alliance,,mental-health-recovery,i-need-help,Counseling for mental health; Substance use; Domestic violence co-occurring issues,,,408-758-3782,,32,needs_review,,
CalWORKs Liaison Services - Adult Education,,jobs-training,want-to-connect,Adult literacy classes; ESL; GED; High school diplomas,,,,https://socialservices.sccgov.org/financial-assistance/calworks,31,needs_review,https://socialservices.sccgov.org/financial-assistance/calworks,
CalWORKs Liaison Services - Community Colleges,,jobs-training,want-to-connect,"Evening and weekend classes at seven college sites; Childcare, transportation, books, and supplies for CalWORKs students",,,,https://socialservices.sccgov.org/financial-assistance/calworks,31,needs_review,https://socialservices.sccgov.org/financial-assistance/calworks,
CalWORKs Transportation and Ancillary Expenses,,transportation-access,want-to-connect,Bus passes; Parking fee or mileage reimbursement,,,,,32,needs_review,,
Campbell Adult and Community Education (CACE),,jobs-training,want-to-connect,Adult education classes,,,408-626-3402,https://www.cace.cuhsd.org,42,needs_review,https://www.cace.cuhsd.org,
Campbell Police Department,,urgent-safety,want-to-connect,Police non-emergency line,,,408-866-2101,,4,needs_review,,
Cancer CAREpoint,,health-clinics,i-need-help,Support for cancer patients,,,408-402-6611,,42,needs_review,,
Catholic Charities of Santa Clara County,,community-support,i-need-help,Emergency and Homeless Assistance; Educational Support for Adults; Employment Resources; Family and Children Resources; Food Resources; Healthcare Resources; Housing Resources; Transportation Resources,,,408-468-0100,https://www.catholiccharitiesscc.org,42,needs_review,https://www.catholiccharitiesscc.org,
Center for Employment Training (CET),,jobs-training,want-to-connect,Vocational training,,,408-534-5360,https://www.cetweb.edu,42,needs_review,https://www.cetweb.edu,
Centro Community Partners,,jobs-training,want-to-connect,Small business/employment support,,,510-556-4249,https://www.centrocommunity.org,43,needs_review,https://www.centrocommunity.org,
Children's Dental Group,,babies-kids-parents,i-need-help,Pediatric dental care,,,408-240-0250,,43,needs_review,,
Children's Health Initiative,,babies-kids-parents,i-need-help,Children's health coverage referral,,,1-888-244-5222,,43,needs_review,,
Choices for Children,,babies-kids-parents,want-to-connect,Childcare eligibility list access for non-CalWORKs clients,,,877-235-0095,https://www.cfcscc.org,43,needs_review,https://www.cfcscc.org,
Clean Slate,,community-support,want-to-connect,Tattoo removal,,,408-794-1660,,43,needs_review,,
Community GatePath,Learning Links Preschool,babies-kids-parents,want-to-connect,Childcare and early education,,,650-938-2252,https://www.learninglinksmtnview.org,48,needs_review,https://www.learninglinksmtnview.org,
Community Solutions Human Trafficking,,urgent-safety,help-now,"Sexual assault, domestic violence, human trafficking response; 24-hour crisis line",,,1-877-363-7238,https://www.communitysolutions.org,43,needs_review,https://www.communitysolutions.org,
Community Technology Alliance,,housing-rent,i-need-help,Housing resource coordination; Telecommunication support,,,408-437-8800,https://www.ctagroup.org,43,needs_review,https://www.ctagroup.org,
ConXion to Community,,community-support,i-need-help,Family and Children Resources; Educational Support for Adults; Employment Resources; Healthcare Resources; Transportation Resources,,,408-213-0961,https://conxion.org,43,needs_review,https://conxion.org,
Court Appointed Special Advocates (CASA of Silicon Valley),,babies-kids-parents,i-need-help,Advocacy for children in the court system,youth,,408-416-0400,https://www.bemyadvocate.org,43,needs_review,https://www.bemyadvocate.org,
Crisis Text Line,,urgent-safety,help-now,Text-based crisis counseling,,,,,4,needs_review,,
Cupertino Sheriff's Office (Santa Clara County Sheriff),,urgent-safety,want-to-connect,Police non-emergency line,,,408-777-3177,,4,needs_review,,
Domestic Violence Intervention Collaborative (DVIC),,urgent-safety,help-now,Domestic violence intervention coordination,,,408-294-0006,https://dvintervention.org,43,needs_review,https://dvintervention.org,
Double Up Food Bucks,,food-basic-needs,want-to-connect,Matching dollars for CA-grown fresh fruits and vegetables,,,,https://www.doubleupca.org,28,needs_review,https://www.doubleupca.org,
Dress For Success,,jobs-training,want-to-connect,Professional attire and employment support,,,408-935-8299,https://sanjose.dressforsuccess.org,44,needs_review,https://sanjose.dressforsuccess.org,
Earned Income Tax Credit (EITC),,community-support,want-to-connect,Tax credit information,,,,https://www.irs.gov/credits-deductions/individuals/earned-income-tax-credit,44,needs_review,https://www.irs.gov/credits-deductions/individuals/earned-income-tax-credit,
East Side Adult Education,,jobs-training,want-to-connect,Adult education classes,,,408-928-9300,http://adulteducation.esuhsd.org,44,needs_review,http://adulteducation.esuhsd.org,
El Camino Hospital,Emergency Department,urgent-safety,help-now,Hospital emergency department,,,650-940-7055,https://www.elcaminohealth.org,4,needs_review,https://www.elcaminohealth.org,
Elevate Community Center,,urgent-safety,i-need-help,Domestic violence support; Housing resources; Legal services,,,408-357-9538,https://www.elevatecommunitycenter.org,44,needs_review,https://www.elevatecommunitycenter.org,
Eritrean Community Center of Santa Clara,,community-support,want-to-connect,Educational Support for Adults; Employment Resources; Legal Services,,,408-900-9457,https://www.eritreancommunity.org,44,needs_review,https://www.eritreancommunity.org,
Evergreen Valley College,,jobs-training,want-to-connect,Community college education programs,,,408-274-7900,https://www.evc.edu,44,needs_review,https://www.evc.edu,
Family Support Services for Families Involved with Family and Dependency Court Systems,,legal-immigration,i-need-help,Family and Children Resources; Employment Resources; Food Resources; Healthcare Resources; Legal Services,,,408-534-5784,,44,needs_review,,
Federal Trade Commission - IdentityTheft.gov,,community-support,want-to-connect,Identity theft reporting/recovery,,,,https://www.identitytheft.gov,44,needs_review,https://www.identitytheft.gov,
First 5 Santa Clara County,,babies-kids-parents,i-need-help,Family and Children Resources; Domestic Violence Resources; Food Resources; Healthcare Resources; Housing Resources,,,408-260-3700,https://www.first5kids.org,44,needs_review,https://www.first5kids.org,
Foothill-De Anza Community College District Police,,urgent-safety,want-to-connect,Campus police non-emergency line,,,650-949-7313,,4,needs_review,,
Fremont Union High School District Adult School (FUHSD),,jobs-training,want-to-connect,Adult education,,,408-522-2700,https://www.fuhsdadultschool.com,44,needs_review,https://www.fuhsdadultschool.com,
Fresh Success,,jobs-training,want-to-connect,Educational Support for Adults; Food Resources; Housing Resources; Transportation Resources,,,408-852-2838,http://www.gavilan.edu/student/eops/calworks/freshsuccess.php,46,needs_review,http://www.gavilan.edu/student/eops/calworks/freshsuccess.php,
Gilroy Library,,youth-education,want-to-connect,Family and Children Resources; Educational Support for Adults,,,408-842-8207,https://www.sccl.org,46,needs_review,https://www.sccl.org,
Gilroy Police Department,,urgent-safety,want-to-connect,Police non-emergency line,,,408-846-0300,,4,needs_review,,
"Go Kids, Inc.",Estrella Family Services,babies-kids-parents,want-to-connect,Family and Children Resources,,,408-843-9000,https://www.gokids.org,46,needs_review,https://www.gokids.org,
Good Samaritan Hospital,,urgent-safety,help-now,Hospital,,,408-559-2011,https://goodsamsanjose.com,4,needs_review,https://goodsamsanjose.com,
Goodwill of Silicon Valley,,jobs-training,want-to-connect,Employment/career workshops,,,408-869-9261,https://goodwillsv.org/career-workshops/,46,needs_review,https://goodwillsv.org/career-workshops/,
Goodwill of Silicon Valley,School Health Clinics / Wellness Center,health-clinics,i-need-help,Healthcare Resources,,,408-869-9160,https://www.schoolhealthclinics.org,46,needs_review,https://www.schoolhealthclinics.org,
Head Start / Early Head Start,,babies-kids-parents,i-need-help,Early childhood education for low-income families,,,408-453-6900,https://www.myheadstart.org,46,needs_review,https://www.myheadstart.org,
Health Benefits Resources Center (HBRC) at O'Connor Hospital,,health-clinics,i-need-help,Family and Children Resources; Food Resources; Healthcare Resources,,,877-904-4272,https://oconnor.verity.org/OCH/healthBenefitsRC.php,46,needs_review,https://oconnor.verity.org/OCH/healthBenefitsRC.php,
Healthier Kids Foundation,,babies-kids-parents,i-need-help,Children's health support,,,408-564-5114,https://www.hkidsf.org,46,needs_review,https://www.hkidsf.org,
HomeSafe Santa Clara,,urgent-safety,help-now,Emergency and Homeless Assistance; Domestic Violence Resources; Housing Resources,,,408-557-9088,https://www.charitieshousing.org/home-safe-santa-clara,46,needs_review,https://www.charitieshousing.org/home-safe-santa-clara,
Hope Services,,seniors-disability,i-need-help,Family and Children Resources; Healthcare Resources,,,408-282-0402,https://www.hopeservices.org/about-hope-services,46,needs_review,https://www.hopeservices.org/about-hope-services,
ImmigrantInfo.org,,legal-immigration,i-need-help,Immigration information referral,,,,https://www.ImmigrantInfo.org,46,needs_review,https://www.ImmigrantInfo.org,
Inclusion Support Warmline,,babies-kids-parents,i-need-help,Warmline support for family/child inclusion needs,,,408-453-6651,https://www.inclusioncollaborative.org,47,needs_review,https://www.inclusioncollaborative.org,
Insight Center for Community Economic Development,,community-support,i-need-help,Food Resources; Healthcare Resources; Housing Resources; Transportation Resources,,,510-251-2600,https://www.insightcced.org,47,needs_review,https://www.insightcced.org,
Integrated Psychological Assessment Services (IPAS),,mental-health-recovery,i-need-help,Behavioral health assessment,,,408-359-6700,https://www.ipasinc.net,47,needs_review,https://www.ipasinc.net,
International Rescue Committee,,legal-immigration,i-need-help,Employment Resources; Legal Services (immigration),,,408-277-0255,https://www.rescue.org/SanJose,47,needs_review,https://www.rescue.org/SanJose,Immigration Line: 408-472-3675
Internet Essentials from Comcast,,community-support,want-to-connect,Low-cost home internet,,,855-846-8376,https://www.internetessentials.com,47,needs_review,https://www.internetessentials.com,
Katharine and George Alexander Community Law Center,,legal-immigration,i-need-help,Legal services,,,408-288-7030,http://law.scu.edu/kgaclc,47,needs_review,http://law.scu.edu/kgaclc,
Kidscope,,babies-kids-parents,i-need-help,Developmental and behavioral health assessment for children,,,408-793-5959,https://www.sccgov.org/sites/bhd/info/CYF/Pages/cyf-kidscope-ctr.aspx,47,needs_review,https://www.sccgov.org/sites/bhd/info/CYF/Pages/cyf-kidscope-ctr.aspx,
"Kinship, Adoptive & Foster Parent Association (KAFPA)",,babies-kids-parents,i-need-help,"Support for kinship, adoptive, and foster parents",,,408-501-6365,https://www.kafpa.org,47,needs_review,https://www.kafpa.org,
Kiva San Jose Lending Team,,community-support,want-to-connect,Microloans,,,408-214-6407,https://www.kiva.org/team/SJP,47,needs_review,https://www.kiva.org/team/SJP,
Law Foundation of Silicon Valley,,legal-immigration,i-need-help,"Free legal advice and representation: Housing Program (housing-related matters); Health Program (public benefits, mental health patient's rights); Children & Youth (Legal Advocates for Children and Youth)",,,408-280-2424,https://www.lawfoundation.org,47,needs_review,https://www.lawfoundation.org,Housing intake 408-280-2424 / lawfoundation.org/housing; Health Program 408-280-2420; Children & Youth 408-280-2416.
Lenders for Community Development (LCD),,community-support,want-to-connect,Loans and finance support,,,408-297-0204,,48,needs_review,,
Loaves and Fishes Family Kitchen,,food-basic-needs,i-need-help,Free meals,,,408-922-9085,https://www.loavesfishes.org,48,needs_review,https://www.loavesfishes.org,
Los Altos Police Department (Santa Clara County Sheriff),,urgent-safety,want-to-connect,Police non-emergency line,,,650-947-2770,,4,needs_review,,
Los Gatos-Monte Sereno Police Department,,urgent-safety,want-to-connect,Police non-emergency line,,,408-354-8600,,4,needs_review,,
Maitri,,urgent-safety,help-now,Domestic violence support for South Asian community; Immigrant needs,,,408-436-8393,http://maitri.org,48,needs_review,http://maitri.org,"Local helpline 408-436-8398 (9am-1pm, otherwise leave message)."
Market Match Program,,food-basic-needs,want-to-connect,Doubled CalFresh spending at participating farmers markets,,,,https://publichealth.sccgov.org/health-information/healthy-eating-and-active-living/resources-stretch-your-food-dollars,28,needs_review,https://publichealth.sccgov.org/health-information/healthy-eating-and-active-living/resources-stretch-your-food-dollars,
Mayor's Gang Prevention Task Force,,youth-education,i-need-help,Gang prevention,,,,https://www.sanjoseca.gov/your-government/departments-offices/mayor-and-city-council/mayor-s-office/our-work/public-safety/mayor-s-gang-prevention-task-force,48,needs_review,https://www.sanjoseca.gov/your-government/departments-offices/mayor-and-city-council/mayor-s-office/our-work/public-safety/mayor-s-gang-prevention-task-force,
Medi-Cal,Full Scope,health-clinics,i-need-help,Doctor Visits; Hospital Stay and Emergency Care; Dental; Vision; Prescriptions; Mental Health & Substance Abuse; Pregnancy & Postpartum Care; Family Planning; Tuberculosis Treatment; Renal Dialysis,,,,https://socialservices.sccgov.org/health-coverage,25,needs_review,https://socialservices.sccgov.org/health-coverage,
Medi-Cal,Restricted Scope,health-clinics,i-need-help,Emergency Care; Pregnancy and Postpartum; Tuberculosis; Renal Dialysis; Tube Feeding,,,,https://socialservices.sccgov.org/health-coverage,25,needs_review,https://socialservices.sccgov.org/health-coverage,
Medi-Cal,For 50+,health-clinics,i-need-help,Doctor Visits; Hospital Stay and Emergency Care; Dental; Vision; Prescriptions; Mental Health & Substance Abuse; Pregnancy & Postpartum Care; Family Planning; Tuberculosis Treatment; Renal Dialysis,,,408-758-3800,https://socialservices.sccgov.org/health-coverage,26,needs_review,https://socialservices.sccgov.org/health-coverage,
Meriwest Credit Union,,community-support,want-to-connect,Banking services,,,408-365-6328,https://www.meriwest.com,48,needs_review,https://www.meriwest.com,
Metropolitan Education District (MetroED),,jobs-training,want-to-connect,Educational Support for Adults; Employment Resources,,,408-723-6400,https://www.MetroED.net,48,needs_review,https://www.MetroED.net,
Milpitas Adult Education,,jobs-training,want-to-connect,Adult education,,,408-635-2692,https://adulted.musd.org,48,needs_review,https://adulted.musd.org,
Milpitas Police Department,,urgent-safety,want-to-connect,Police non-emergency line,,,408-586-2400,,4,needs_review,,
Mission College,CalWORKs Program,jobs-training,want-to-connect,Childcare; Educational Support for Adults; Employment Resources,,,408-855-5228,https://missioncollege.edu/student_services/calworks,48,needs_review,https://missioncollege.edu/student_services/calworks,
Momentum For Health,,mental-health-recovery,i-need-help,Family and Children Resources; Employment Resources; Healthcare Resources; Housing Resources,,,408-260-4040,https://www.momentumforhealth.org,49,needs_review,https://www.momentumforhealth.org,
Morgan Hill Migrant Educational Program,,youth-education,want-to-connect,Migrant family education support,,,408-201-6081,https://mhusd.org/educational-services/migrant-education,49,needs_review,https://mhusd.org/educational-services/migrant-education,
Morgan Hill Police Department,,urgent-safety,want-to-connect,Police non-emergency line,,,408-779-2101,,4,needs_review,,
Mountain View Police Department,,urgent-safety,want-to-connect,Police non-emergency line,,,650-903-6395,,4,needs_review,,
Mtn View-Los Altos Adult School (MVLA),,jobs-training,want-to-connect,Adult education,,,650-940-1333,https://as.mvla.net,49,needs_review,https://as.mvla.net,
"National Alliance on Mental Illness, Santa Clara County (NAMI)",,mental-health-recovery,i-need-help,Mental illness support and helpline,,,408-453-0400,https://www.namisantaclara.org,49,needs_review,https://www.namisantaclara.org,
New Eyes,,health-clinics,want-to-connect,Eyeglasses assistance,,,,https://www.new-eyes.org,49,needs_review,https://www.new-eyes.org,
Next Door Solutions,,urgent-safety,help-now,Domestic violence 24/7 crisis hotline; Emergency and Homeless Assistance; Educational Support for Adults; Employment Resources; Food Resources; Healthcare Resources; Housing Resources; Counseling; Legal Needs,,,408-279-2962,https://www.nextdoor.org,49,needs_review,https://www.nextdoor.org,"Source states hotline operates 365 days a year, 24/7."
North East Medical Services (NEMS),,health-clinics,i-need-help,Family and Children Resources; Healthcare Resources,,,408-573-9686,https://www.nems.org,49,needs_review,https://www.nems.org,
NOVAworks,,jobs-training,want-to-connect,Employment training for 17+; Educational Support for Adults; Employment Resources,youth,,408-730-7232,https://novaworks.org,49,needs_review,https://novaworks.org,
O'Connor Hospital,,urgent-safety,help-now,Hospital,,,408-947-2500,https://och.sccgov.org,4,needs_review,https://och.sccgov.org,TDD: 408-947-2599.
Occupational Training Institute (OTI),Comptechs Computer Technical Support,jobs-training,want-to-connect,Computer technical support training,,,408-864-8360,https://www.deanza.edu/oti,49,needs_review,https://www.deanza.edu/oti,
Opportunity Youth Academy (OYA),,youth-education,i-need-help,Education and employment support for ages 16-24,youth,,1-844-692-4888,http://opportunityyouthacademy.org,49,needs_review,http://opportunityyouthacademy.org,
Palo Alto Police Department,,urgent-safety,want-to-connect,Police non-emergency line,,,650-329-2413,,4,needs_review,,
Parents Helping Parents (PHP),,babies-kids-parents,i-need-help,Support for families of children with special needs,,,408-727-5775,https://www.php.com,51,needs_review,https://www.php.com,
Pars Equality Center,,legal-immigration,i-need-help,Educational Support for Adults; Employment Resources; Immigration legal services,,,408-261-6400,https://www.parsequalitycenter.org,51,needs_review,https://www.parsequalitycenter.org,Immigration legal services line: 408-261-6405 / immigration@parsequalitycenter.org.
Peninsula Family Service,,community-support,want-to-connect,Financial/loan support,,,408-577-1981,https://www.peninsulafamilyservice.org,51,needs_review,https://www.peninsulafamilyservice.org,
Pivotal,,youth-education,i-need-help,Foster youth support; Educational Support for Adults; Employment Resources,youth,,408-484-6200,https://www.pivotalnow.org,51,needs_review,https://www.pivotalnow.org,
Pro Bono Project Silicon Valley,,legal-immigration,i-need-help,Free legal services,,,408-998-5298,https://www.probonoproject.org,51,needs_review,https://www.probonoproject.org,
Project Hired,,seniors-disability,want-to-connect,Employment services for people with disabilities,disability,,408-557-0880,https://www.projecthired.org,51,needs_review,https://www.projecthired.org,
Rebekah Children's Services,,mental-health-recovery,i-need-help,Behavioral health services for children; Education,,,408-846-2100,https://www.rcskids.org,51,needs_review,https://www.rcskids.org,
Regional Medical Center,,urgent-safety,help-now,Hospital,,,408-259-5000,https://regionalmedicalsanjose.com,4,needs_review,https://regionalmedicalsanjose.com,
RotaCare Bay Area,,health-clinics,i-need-help,Free healthcare clinics,,,408-379-8000,https://www.rotacarebayarea.org,"4,51",needs_review,https://www.rotacarebayarea.org,"Also a Gilroy clinic: South Valley Middle School, 7861 Murray Avenue, Gilroy, 408-676-3030, gilroyclinic@rotacarebayarea.org."
Sacred Heart Community Service,,community-support,i-need-help,Employment Resources; Transportation assistance (via TAP); Other Support Resources,,,408-278-2160,https://sacredheartcs.org,"38,51",needs_review,https://sacredheartcs.org,
San Andreas Regional Center,,seniors-disability,i-need-help,Services for people with developmental disabilities,disability,,408-374-9960,https://www.sarc.org,52,needs_review,https://www.sarc.org,
San Jose Police Department,,urgent-safety,want-to-connect,Police non-emergency line,,,408-277-8900,,4,needs_review,,Listed as one of 14 city police department non-emergency numbers on the same source page; call 911 for emergencies (source explicitly directs medical/mental health emergencies to 911).
San Jose State University,Career Center,jobs-training,want-to-connect,Career services,,,408-924-1000,https://www.sjsu.edu/careercenter,52,needs_review,https://www.sjsu.edu/careercenter,
Santa Clara Adult Education,,jobs-training,want-to-connect,Adult education,,,408-423-3500,https://www.santaclaraadulted.org,52,needs_review,https://www.santaclaraadulted.org,
Santa Clara County Behavioral Health Services,,mental-health-recovery,help-now,Mental health support; Self-help centers,,,988,https://www.sccgov.org/sites/bhd/Pages/home.aspx,37,needs_review,https://www.sccgov.org/sites/bhd/Pages/home.aspx,
Santa Clara County Department of Aging and Adult Services (DAAS),Adult Protective Services,urgent-safety,help-now,Age-friendly community programs; Adult abuse reporting,seniors; disability,,1-800-414-2002,https://socialservices.sccgov.org/about-us/department-aging-and-adult-services,35,needs_review,https://socialservices.sccgov.org/about-us/department-aging-and-adult-services,
Santa Clara County Department of Family and Children's Services (DFCS),Child Abuse & Neglect Call Center,urgent-safety,help-now,Protect children from abuse and neglect; 24/7 child abuse reporting,,,833-722-5437,https://socialservices.sccgov.org/about-us/department-family-and-childrens-services,34,needs_review,https://socialservices.sccgov.org/about-us/department-family-and-childrens-services,
Santa Clara County Emergency Psychiatric Services (EPS),,urgent-safety,help-now,Emergency and Homeless Assistance; Mental health emergency care; Emergency psychiatric services,,,408-885-6100,https://www.sccgov.org/sites/bhd/Services/Emergency/EmergencyPsychiatricServices/,"4,37",needs_review,https://www.sccgov.org/sites/bhd/Services/Emergency/EmergencyPsychiatricServices/,"Cross-listed at source page(s) 4 under ""Santa Clara Valley Medical Center - Emergency Psychiatric Services (EPS)""."
Santa Clara County Fatherhood/Male Involvement Collaborative,,babies-kids-parents,want-to-connect,Parenting support for fathers,,,408-484-6200,https://www.sccfmic.org,52,needs_review,https://www.sccfmic.org,
Santa Clara County Housing Authority,,housing-rent,i-need-help,Housing resources,,,408-275-8770,https://www.scchousingauthority.org,37,needs_review,https://www.scchousingauthority.org,
Santa Clara County Office of Immigrant Relations,,legal-immigration,want-to-connect,Immigration/legal resource coordination,,,408-678-1430,https://www.sccoir.org,37,needs_review,https://www.sccoir.org,
Santa Clara County Office of System Integration and Transformation,,mental-health-recovery,i-need-help,Mental health support (Whole Person Care),,,408-885-7713,https://www.sccgov.org/sites/bhd/Pages/home.aspx,38,needs_review,https://www.sccgov.org/sites/bhd/Pages/home.aspx,
Santa Clara County Parks,,community-support,want-to-connect,Recreation programs,,,408-355-2200,https://www.parkhere.org,37,needs_review,https://www.parkhere.org,
Santa Clara County Reentry Resource Centers,,community-support,want-to-connect,Reentry support for justice-involved residents,,,408-535-4299,https://www.sccreentry.org,38,needs_review,https://www.sccreentry.org,
Santa Clara County Social Services Agency,Department of Employment and Benefit Services (DEBS),community-support,want-to-connect,Healthcare Assistance; Financial Assistance; Food Assistance; Employment Assistance,,,408-758-3800,https://socialservices.sccgov.org/about-us/department-employment-and-benefit-services,"23,24",needs_review,https://socialservices.sccgov.org/about-us/department-employment-and-benefit-services,
Santa Clara County Transportation Assistance Program (TAP),,transportation-access,i-need-help,Transportation assistance via partner agencies,,,,,38,needs_review,,
Santa Clara County Victim Services Unit,,legal-immigration,i-need-help,Legal support for crime victims,,,408-295-2656,https://www.santaclara-da.org,38,needs_review,https://www.santaclara-da.org,
Santa Clara Family Health Plan (SCFHP),,health-clinics,i-need-help,Family and Children Resources; Healthcare Resources,,,1-888-802-3353,https://www.scfhp.com,52,needs_review,https://www.scfhp.com,
Santa Clara Police Department,,urgent-safety,want-to-connect,Police non-emergency line,,,408-615-4700,,4,needs_review,,
Santa Clara Suicide Prevention and Crisis Line,,urgent-safety,help-now,Suicide prevention and crisis counseling,,,988,https://www.suicideispreventable.org,"4,52",needs_review,https://www.suicideispreventable.org,
Santa Clara Valley Medical Center,Pregnancy and Birth / Maternal Child and Adolescent Health Program (MCAH),babies-kids-parents,i-need-help,Pregnancy and baby resources,,,,https://www.scvmc.org,38,needs_review,https://www.scvmc.org,
Santa Clara Valley Medical Center,Emergency Department,urgent-safety,help-now,Hospital emergency department,,,408-885-5000,https://www.scvmc.org,4,needs_review,https://www.scvmc.org,TTY: 408-971-4068.
Saratoga Sheriff's Office (Santa Clara County Sheriff),,urgent-safety,want-to-connect,Police non-emergency line,,,408-741-2092,,4,needs_review,,
SCC Public Health - Better Health Pharmacy,,health-clinics,i-need-help,Free medication,,,408-794-0564,https://www.sccgov.org/sites/phd/services/php/Pages/bhp.aspx,37,needs_review,https://www.sccgov.org/sites/phd/services/php/Pages/bhp.aspx,
SCC Public Health - Breastfeeding/Chestfeeding Support Program,,babies-kids-parents,want-to-connect,Counseling and one-on-one support for mothers; Support groups,,,408-817-6988,https://www.nursingmothers.org,38,needs_review,https://www.nursingmothers.org,
SCC Public Health - Pregnancy and Parenting Referral Line,,babies-kids-parents,i-need-help,"Reproductive health; Family planning; Pregnancy; Birth defects; Infants, children, and teens",,,1-800-310-2332,https://www.sccgov.org/sites/phd/services/mcah/Pages/preg-parent-ref.aspx,37,needs_review,https://www.sccgov.org/sites/phd/services/mcah/Pages/preg-parent-ref.aspx,
